_Publication Year	_Title (Cleaned)	_Author (Cleaned)_MERGED_ISI_SCOPUS SIIIII	_Source (Cleaned) SI	DOI	ISSN	_Affiliations (Country) (ISO3 codes) SI	Countries (ISO3 codes)	Affiliations
1986	Towards a theory of innovation in services	Barras, R.	RESEARCH POLICY	10.1016/0048-7333(86)90012-0	"0048-7333; 00487333"	GBR		Technical Change Centre, 114 Cromwell Road, London, SW7 4ES, United Kingdom
1988	High technology salespeople’s information acquisition strategies	Beltramini, R. F.	JOURNAL OF PERSONAL SELLING AND SALES MANAGEMENT	10.1080/08853134.1988.10754479	8853134	USA		Arizona State University, United States
1989	Models for distinguishing innovative and noninnovative small firms	"Khan, A. M.; Manopichetwattana, V."	JOURNAL OF BUSINESS VENTURING	10.1016/0883-9026(89)90020-7	8839026	THA		"C P Corporation, Bangkok, Thailand; University of Texas, ArlingtonUSA"
1990	Interactive innovation in financial and business services: The vanguard of the service revolution	Barras, R.	RESEARCH POLICY	10.1016/0048-7333(90)90037-7	487333	GBR		Property Market Analysis, 9 Broad Court, London, WC2B 5QN, United Kingdom
1992	Cultural anchoring in the service sector	"Latour, M. S.; Roberts, S. D."	JOURNAL OF SERVICES MARKETING	10.1108/08876049210037140	8876045	USA		"Professor of Marketing at Auburn University, Journal of Personal Selling and Sales Management, United States; Professor of Marketing at Old Dominion University, Journal of Economic Psycholog, United States"
1993	Services in the new industrial economy	Miles, Ian	FUTURES	10.1016/0016-3287(93)90106-4	"0016-3287; 00163287"			
1994	Computer-simulation applications in-service operations: a case-study from the leisure industry	Smith, D. J.	SERVICE INDUSTRIES JOURNAL	10.1080/02642069400000041	0264-2069			
1994	Improved customer service using new information technology as an enabling tool: the case of electronic data interchange in the transportation industry	Kerkhof, Marco	INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY		9528091	NLD		Univ of Twente, Enschede, Netherlands
1995	Technology systems and technology policy in an evolutionary framework	Metcalfe, J. S.	CAMBRIDGE JOURNAL OF ECONOMICS		0309-166X			
1995	Service logic - achieving service system integration	"Bowen, D.; George, W. R.; Kingmanbrundage, J"	INTERNATIONAL JOURNAL OF SERVICE INDUSTRY MANAGEMENT	10.1108/09564239510096885	0956-4233		USA	
1995	Technological regimes and innovation in services: the case of the Italian banking industry	"Buzzacchi, L.; Colombo, M. G.; Mariotti, S."	RESEARCH POLICY	10.1016/0048-7333(93)00756-J	"0048-7333; 00487333"	ITA	ITA	"Politecnico di Milano, Dipartimento di Economia e Produzione, Milano, Italy; Politecnico di Torino, Dipartimento dei Sistemi, Produzione ed Economia dell'Azienda, Torino, Italy"
1995	Measuring innovation in services	"Evangelista, R.; Sirilli, G."	RESEARCH EVALUATION	10.1093/rev/5.3.207	9582029	ITA		The Instihrte for Studies on Scientific Research and Documentation, National Research Council of Italy, Via C. De Lollis, 12, Roma, 00185, Italy
1996	Market orientation and innovation	Atuahene-Gima, K.	JOURNAL OF BUSINESS RESEARCH	10.1016/0148-2963(95)00051-8	"0148-2963; 01482963"	HKG		Dept. of Business and Management, City University of Hong King, 83 Tat Chee Avenue, Hong Kong, Hong Kong
