   FACTOR MATRIX (1986-1995) INTELLECTUAL STRUCTURE OF S                                                    
   Cumulative Variance                                        24,406           42,819           55,558           65,875     
   Variance                                                   24,406           18,413           12,738           10,316     
   Factor/theme                                                 1                 2                3               4        
  1Institutional                                              0,719            -0,641           -0,141           -0,205     
  2National government                                        0,719            -0,641           -0,141           -0,205     
  3National systems of innovation                             0,719            -0,641           -0,141           -0,205     
  4Technology policy                                          0,719            -0,641           -0,141           -0,205     
  5Adoption and diffusion                                     0,148             0,497            0,364           0,017      
  6Service innovation                                         0,133             0,641           -0,198           -0,424     
  7Service sector/Service industries                          0,091             0,294            0,581           0,055      
  8Innovation in services                                     0,081             0,261            0,48            0,702      
  9Absorptive capacity/ACAP                                   0,048             0,101           -0,204           0,592      
 10Technological innovation                                   0,043             0,16            -0,052           0,093      
 11Generation of new types of services                        0,033            -0,003            0,908           -0,118     
 12Schumpeterian                                              0,033            -0,003            0,908           -0,118     
 13Information Technology                                       0              -0,024            0,006           0,934      
 14Product-service innovation                                 -0,008            0,141           -0,259           -0,118     
 15Reverse product cycle theory                               -0,008            -0,09            0,717           0,481      
 16Consumer/customer/user                                     -0,149            0,106            0,667           -0,132     
 17Service logic                                              -0,333           -0,119            0,008           -0,334     
 18Complex service systems                                    -0,663           -0,502           -0,159           -0,113     
 19Quality of service                                         -0,663           -0,502           -0,159           -0,113     
 20Service system                                             -0,738           -0,461           -0,113           -0,332     
