   FACTOR MATRIX (1996-2005) INTELLECTUAL STRUCTURE                                                                                                              
   Cumulative Variance                               9,098     16,261    22,642    28,45     34,069    39,233    44,368    49,341    53,62     57,69      61,5     64,961  
   Variance                                          9,098     7,162      6,38     5,808     5,618     5,164     5,135     4,972     4,278      4,07      3,81      3,46   
   Factor/theme                                        1         2         3         4         5         6         7         8         9         10        11        12    
  1Adoption and diffusion                            0,186     -0,192    0,339     -0,09      0,09     0,044     -0,099    -0,053    -0,144    0,061     -0,117    0,546   
  2Service sector/Service industries                 0,144     -0,213    -0,097    -0,05     -0,243    -0,356    0,317     -0,067    -0,168    -0,313    0,049     -0,287  
  3Consumer/customer/user                            0,132     -0,046    -0,071    -0,25     0,094     -0,334    0,337     -0,101    -0,196    0,126     -0,47     0,012   
  4Inter-organizational                              0,109     -0,12     -0,007    -0,097    -0,011    0,244     -0,005    0,029     -0,058    -0,006    0,145     -0,308  
  5Service provider/provision                        0,104     0,312     0,074     -0,078    -0,108    -0,357    -0,173    -0,09     -0,059    0,102      0,25     -0,066  
  6Product-service innovation                        0,086     -0,04     -0,051    -0,07     -0,072      0       -0,009    0,114     0,008     -0,039    0,236     0,764   
  7Innovation in services                            0,085     -0,141    -0,039    -0,242    -0,194    0,467     0,318     -0,078    -0,098    -0,292    0,283     -0,368  
  8neo-Schumpeterian theory                          0,077     -0,022    -0,062    -0,097    -0,053    0,498     -0,097    0,019     -0,057     0,07     0,052     -0,18   
  9Service encounter                                 0,076     -0,099    -0,03     -0,061    -0,002    -0,476      0        0,01     -0,022    0,002     0,014     -0,183  
 10New service development                           0,054     -0,078    -0,088    -0,073    -0,112    -0,207    -0,085    -0,107    -0,088    0,005     -0,179    0,088   
 11Service system                                    0,049     -0,016    -0,02     -0,007    0,026     -0,044    0,009     0,051     0,018     -0,005    -0,574    -0,097  
 12Service platform                                  0,048     0,005     -0,036    -0,043    -0,067    -0,036    -0,058    -0,011    0,019     0,047     -0,211    -0,035  
 13Institutional                                     0,037     0,328     0,767     -0,077    -0,107    -0,008    -0,045    -0,047    -0,019    0,038     0,072     -0,038  
 14Value co-creation                                 0,035     -0,034    -0,021    -0,025    0,007     0,007     -0,008    -0,023     0,97     0,014     0,012     -0,022  
 15Service-Dominant Logic                            0,035     -0,034    -0,021    -0,025    0,007     0,007     -0,008    -0,023     0,97     0,014     0,012     -0,022  
 16KIBS                                              0,034     -0,045    -0,039    0,958     -0,001    -0,007    -0,005    -0,028    -0,032    0,023     0,073     -0,048  
