    FACTOR MATRIX (1996-2005) INTELLECTUAL ST                                                                                                                                                                                                                            
               Cumulative Variance             2,039     3,839     5,575     7,216     8,806     10,331    11,813    13,257    14,648    15,986    17,291    18,556    19,79     21,018    22,226    23,409    24,547    25,668    26,781    27,859    28,919    29,963    30,993  
                    Variance                   2,039      1,8      1,736      1,64      1,59     1,524     1,481     1,444     1,391     1,337     1,305     1,264     1,233     1,228     1,208     1,182     1,138     1,121     1,112     1,077     1,059     1,044      1,03   
                     Factor                      1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23    
   1Value co-creation                          0,749      0,05     0,061     -0,058    -0,003    -0,013    -0,024    -0,026    0,013     -0,004    -0,023    0,029     -0,041    0,015     0,028     0,058     -0,004    -0,022    -0,033    0,045     -0,001     0,01     -0,068  
   2Service-dominant logic                     0,726      0,05     0,051     0,005     -0,096    -0,007    -0,05     -0,009    -0,083    -0,076    -0,056    0,028     0,041     0,026     -0,118    0,008     -0,111    -0,037    0,004     -0,047    0,139     0,067     -0,066  
   3Resource integration                       0,456     0,025     -0,003    0,047     0,059     0,014     -0,02     -0,014    0,022     -0,053    0,122     0,003     0,023     0,003     0,061      0,08     0,025     0,033     -0,045    0,056     -0,102    -0,08     0,029   
   4Value proposition                          0,433     -0,017    0,009     -0,084    -0,193    -0,009    -0,056     0,05     -0,058    0,072     -0,049    0,004     0,004     0,018     0,056     0,123     -0,072    -0,002    0,027     -0,141    0,089     0,012     -0,044  
   5Value-in-use                               0,372     -0,043    -0,032    -0,025    0,008     0,021     -0,049    -0,025    -0,072    -0,004    -0,145    -0,054    -0,09     0,072     -0,022    -0,029    -0,449    0,033     -0,032    -0,025    -0,022    -0,008    -0,021  
   6Service logic                              0,329     -0,042    0,007     -0,039    0,041     -0,01     -0,009    -0,002    0,038     0,058     -0,034    0,005     0,015     -0,023    0,035     0,017     0,055     -0,036    -0,005    -0,037    0,005     -0,03     -0,034  
   7Consumer/customer/user                     0,315     0,009     0,038     -0,031    0,088     0,013     0,161     -0,064    0,041     -0,173    -0,172      0       0,013      0,09     -0,044    -0,078    -0,001    0,068     -0,058     0,41     0,108     0,062     -0,01   
   8Service ecosystem                           0,3      0,408     0,029     -0,027    -0,008    0,049     -0,047    0,082     -0,094    -0,108    0,099     0,093     0,087     0,001     -0,013    -0,021    -0,028    0,186     0,173     -0,089    -0,014    -0,116    -0,067  
   9Value-in-context                           0,277     -0,061    -0,021    0,033     0,046     0,018     -0,013    -0,025    -0,007    -0,109    0,021       0       0,031     0,028     -0,035     -0,1     0,012     -0,001    -0,038    0,158     -0,073    0,034     -0,001  
  10Value co-destruction                       0,235     0,054     0,092      0,03     0,032     -0,002    -0,027    -0,01     -0,078    0,002     0,026     -0,019    -0,019    -0,032    0,091     -0,007    0,017     0,046     -0,041    -0,075    0,107     0,046     0,004   
  11Marketing Theory                           0,228     0,049     0,166     0,032      0,01     -0,017      0       -0,022    -0,044    0,074     -0,032    0,008     0,021     -0,04     -0,005    -0,083    0,098     -0,038    -0,001    -0,147    0,381     0,115     0,013   
  12Value-in-exchange                          0,213     -0,05     -0,082    -0,036    -0,036    0,008     -0,041    0,009     -0,039    0,035       0       -0,055    -0,04     0,029     -0,028     0,07     -0,135    -0,048    -0,013    -0,04     -0,008    -0,014    -0,017  
  13Actor-to-actor (A2A)                        0,19     0,113     0,006     0,096      0,06     -0,024    0,009     0,014     0,087     0,025     0,137     0,018     0,011     -0,014    -0,022    0,004     -0,049    0,095     0,026     0,116     -0,052    -0,04       0     
  14Ecosystem                                  0,183     0,536     -0,012    -0,039    -0,12     0,011     -0,042    0,014     -0,006    -0,042    0,037      0,15     0,005     0,062     0,053     -0,115    -0,038    0,068     0,288     -0,107    -0,052    -0,108    -0,102  
  15Structuration theory                        0,18     -0,052    -0,046    -0,006    0,026     -0,01     0,001     -0,01      0,02     0,005     0,009     -0,012    0,033     -0,017    -0,008    0,188     0,072     -0,041    -0,001    0,036     -0,101    -0,028    0,044   
  16Value co-production                        0,153     -0,006    -0,002    0,105     -0,074    0,015     0,096     -0,034    0,008     -0,101    0,058     -0,306    -0,05     -0,012     0,03     0,076     -0,141    0,101     -0,089    0,144     -0,042    0,013     -0,002  
  17Customer-Dominant Logic                    0,148     0,008     0,003     -0,027    0,003     -0,006    -0,014    -0,018    0,028     0,037     -0,007    0,013     0,026     -0,004    0,014     -0,057     0,05     -0,042     0,03     0,134     -0,007    -0,044    -0,017  
  18Customer service system                    0,131     -0,028    0,099     -0,007    -0,006    -0,004    0,078     -0,012    0,012     0,089     -0,08     0,004     0,016     -0,025    0,021     -0,046    0,054     -0,027    0,042     -0,062    0,461     0,151     0,017   
  19Service system                             0,131      0,04     0,005     0,002     0,005     0,091     -0,021      0       -0,044    -0,028    -0,424    -0,01      0,05     -0,006    0,048     0,579     -0,154    0,005     -0,035    -0,084    0,004     0,074     -0,06   
  20Self-service                                0,13     0,118     0,031     0,057     0,043     0,341     0,071     -0,014    -0,05     -0,251    0,028     -0,04     0,019     0,019     -0,084    0,043     0,036     0,085     -0,078    0,096     0,005     -0,016    0,032   
  21Complexity theory                          0,101     -0,044    0,006     0,019     -0,073    -0,043    -0,103    -0,062     0,02     -0,15     -0,039    -0,039    0,019     -0,008    -0,114    0,153      0,01     -0,355    -0,07     -0,068    -0,046    -0,132    0,062   
  22Mobile technology                           0,09     0,018       0       -0,04     0,015     0,106     -0,032    -0,01     -0,075    -0,03     0,001     0,103      0,03     0,021     -0,063    -0,108    -0,055    0,194     0,003       0       -0,027    -0,027    0,028   
  23Smart tourism                              0,085     0,017     -0,029    -0,104    -0,582    -0,003    -0,042    -0,003    -0,005    0,039     0,021     0,049     0,014     -0,024    -0,112    -0,082    0,013       0       0,016     -0,06     -0,014    0,006     -0,003  
  24Well-being                                 0,083     -0,008    0,015     -0,035    -0,001    0,024     -0,016    -0,021    0,004     0,105     -0,011    -0,038    -0,009    0,006     0,705     -0,048    0,008     0,011       0       -0,054    -0,014    -0,01     -0,03   
  25Service platform                           0,083      0,44     -0,033    0,153     0,075       0       0,021     0,093     0,077     -0,027    0,056     -0,09     -0,023    -0,003    -0,004    0,041     0,014      0,1      -0,07     0,175     0,025     -0,034    -0,002  
  26Service provision                          0,079     0,029     -0,067    0,016     0,046     -0,024    0,072     -0,052    0,119     -0,144    -0,058    -0,071    0,023     0,007     0,016     0,062     0,048     0,027     -0,047    0,095     -0,08     -0,099    0,041   
  27Service provider                           0,077     -0,018    -0,164    0,021     -0,006    0,021     0,032     -0,001    -0,017    -0,118    -0,111    -0,235    0,053     0,029     -0,026    0,043     0,046     0,137     0,065     0,377       0       0,172     0,012   
  28Practice theory                            0,075     0,403     0,105      0,1      0,046     0,006     -0,024    -0,008    -0,108    0,008     0,008     0,022     -0,006    -0,081    0,002     0,101     0,097     0,171     -0,09     -0,034    0,123     -0,002    0,058   
  29Service design                             0,072     0,003     -0,003    0,029     0,042     -0,005    0,078     -0,046     0,25     0,009     -0,258    -0,047    0,033     0,035     0,334     -0,003    0,088     -0,039      0       0,152     0,116     -0,059    -0,101  
  30Complex service system                     0,065     -0,017    -0,036    -0,023    0,018     0,002     -0,017    -0,001    0,072     0,012     -0,013    -0,035    0,033     -0,013    -0,034    0,389     0,037     -0,114    -0,044    -0,021    -0,119    -0,065    0,022   
  31Context-aware service / space-time         0,061     -0,03     -0,025    -0,015    0,024     -0,029    -0,026    -0,034    0,054     0,118     -0,05     0,037     0,052     0,051     0,039     0,067     0,038     -0,133    0,004     0,219     -0,047    -0,099    0,176   
  32Self-organising                            0,051     0,034     0,028     -0,023    -0,071    0,004     -0,019    -0,026    0,253      0,09     -0,017    0,009     -0,012    0,025     -0,024    -0,024    0,006     -0,161    -0,008    0,052     -0,019    0,034     -0,053  
  33Institutional Theory                       0,046     -0,013    -0,004    -0,025    -0,012    -0,017    -0,001    0,748       0       -0,003    0,026     0,013     0,063     0,018     0,003     -0,001    0,005     -0,006    0,016     -0,103    -0,034    -0,02     -0,005  
  34Intra-organizational                       0,044     -0,012    -0,014    0,032     0,026     -0,004    0,012     -0,033    0,039      0,05     -0,052    0,037     -0,693    0,018     -0,05     -0,033    0,042     -0,016    -0,04     -0,025    -0,018    0,036     0,004   
  35Collaboration                              0,043     0,056     0,001     -0,078    0,026     -0,069    0,172     -0,007    0,022     0,052     0,236     0,083     -0,115    0,001     0,145     -0,028    -0,099    0,156     0,098     -0,003    -0,089    -0,108    0,052   
  36Facilities                                 0,042     -0,016    -0,027     0,03     0,059     0,072     -0,068    -0,016    -0,03     -0,116    0,076      0,02     0,028     0,038     0,227     -0,167    -0,047    0,023     -0,036    0,069     -0,039    0,033     0,037   
  37Business model                             0,042     -0,001    -0,083    -0,035    -0,185    -0,034    -0,072    -0,048    0,045     0,136     -0,237     0,1      -0,246    0,054     -0,011    -0,023    -0,013    0,169     -0,029    -0,048    -0,137    0,092     0,026   
  38Transformative service research            0,038     -0,004    0,034     -0,036    -0,052    -0,026    0,004     -0,014    0,069     0,078     -0,074    -0,018    0,009     0,001     0,591     0,008     0,048     0,006      0,01     -0,07     0,016     -0,06     -0,048  
  39e-service                                  0,036     -0,009    0,036     -0,047    0,014     -0,001    0,613     -0,001     0,09     -0,155    -0,023    -0,14     0,022     -0,021    -0,064    -0,069    0,021     0,024     -0,017    -0,006     0,21      0,09     0,098   
  40Emerging economies                         0,032     -0,031    0,002     0,019     0,017     0,002     -0,053    -0,017    -0,094    0,051     0,027     -0,125    -0,181    -0,018    0,144     -0,006    -0,091    0,043     -0,048    -0,053    -0,035    0,031     -0,045  
  41Service encounter                           0,03     -0,049    0,048     0,032     0,064     0,019     0,027     -0,006    -0,041    -0,376    -0,023    0,009      0,08     0,061     -0,049    -0,061      0       0,029     -0,018    -0,014    0,023     -0,014    -0,139  
  42Servitization                              0,028     -0,029    0,035     0,014     -0,031    -0,039    -0,016    -0,008    0,009     0,081     -0,593    0,039     -0,024     0,06     0,029     0,012     -0,063    0,047     0,021     0,009     -0,044    -0,034    0,042   
  43Market-oriented                            0,027     -0,068    0,043      -0,1     -0,053    -0,023    -0,071    -0,049    -0,089    0,017     0,114     0,053     -0,012    0,011     -0,087    -0,056      0       -0,165    0,017     0,342     -0,023    -0,075    -0,034  
  44Work system                                0,025     -0,018    0,011     -0,002    0,002     -0,001    0,003     -0,007    -0,014      0       -0,002    0,017     0,007     0,006     -0,027    0,049     -0,002    0,002       0       -0,006    0,003     0,013     -0,009  
  45Tourism                                    0,025     -0,003    -0,011    -0,132    -0,467    0,005     -0,039    -0,026      0       0,052     0,017     0,046     0,043     -0,031    -0,136    -0,125    0,022     -0,071     0,02     -0,016    -0,022    0,009      0,02   
  46Modularity theory                          0,022     -0,013    -0,737    0,017     0,019     0,001      0,03     0,047     -0,059    0,036     -0,117    0,023     0,007     -0,026    -0,028    0,053     0,023     0,041      0,02     -0,032    0,002     0,012     0,002   
  47Complex adaptive system                    0,015     0,009     0,009      0,06     -0,018    -0,01     -0,027    -0,026    0,044     0,064     0,048     -0,01     -0,005    -0,022    -0,047    0,013     0,043     -0,195    -0,006    0,027     -0,029    -0,024    -0,025  
  48Inter-organizational                       0,013     -0,01     -0,053    0,001      0,01     -0,004    -0,058    -0,017    -0,011    -0,086    0,003     -0,062    -0,671    0,006     -0,003    0,004     -0,042    -0,012    -0,033    0,001     -0,028    -0,004    0,134   
  49neo-Institutional Theory                    0,01     -0,041    -0,008    0,027     0,003     0,003     -0,016    0,339     -0,06     -0,005    -0,014    -0,004    0,053      0,01     -0,033    0,001     0,036       0       0,007     -0,073    -0,04     0,001     0,045   
  50Layered modular architecture                0,01     -0,089    -0,083    0,195     0,038     -0,005    0,035     -0,04     0,084     0,034     -0,007    0,037     0,084     0,093     -0,017    -0,06     0,004     -0,042    0,494     -0,056    -0,057    -0,035    -0,077  
  51Public policy                              0,009     -0,063    0,017     0,164     0,012     -0,015    -0,049    0,066     -0,093    0,096     0,041     -0,029    -0,08     -0,393    0,031     0,034     0,069     -0,063    0,036     -0,031    0,015     0,039      0,01   
  52Stakeholder                                0,009     0,086     -0,013    -0,038    0,012     -0,059    -0,016    -0,04      0,13     -0,087    -0,042    0,031     -0,001    0,075     0,052     0,025     -0,299    -0,102    -0,072    -0,029    -0,018    -0,08     0,277   
  53Generativity                               0,007     0,176     -0,018     0,44     0,068     -0,015    -0,009    -0,019    0,042     0,119     0,101     0,023     0,028     0,193     -0,078    0,024     -0,004    -0,068    0,214     -0,029    -0,073    -0,046    0,016   
  54Lancasterian                               0,005     -0,001    -0,018    -0,034    0,001     -0,019    0,019     -0,031     0,12     0,086     0,028     -0,695    0,022     0,022     -0,036    -0,01     0,033     0,294     0,046     -0,024    -0,014    0,003     0,014   
  55Big Data                                   0,002     -0,008    0,033     0,105     -0,687    -0,036    0,023     -0,009    0,096     0,012     -0,02     0,021     -0,005    0,058      0,22     0,045     0,012     0,053     -0,006    0,019     0,008     -0,038    -0,018  
  56neo-Schumpeterian                          0,002     -0,029    -0,018    0,038     0,009     -0,002    -0,017    0,058     -0,058    0,027     0,022     -0,02     -0,001    -0,081    0,038     0,032     0,055     -0,008    0,014     -0,024    -0,023    0,041     0,033   
  57Everyday activities/ everyday life           0       0,028     0,021     0,092     -0,091    0,009     -0,032    -0,02     -0,054    0,001     0,032     0,043     -0,025    0,022     -0,07     0,071     0,028     0,194     -0,084    0,011     -0,061    -0,006    0,028   
  58Agency theory                              -0,002    -0,008    -0,692    -0,026    -0,001      0        0,01     0,003     -0,066    0,039     0,027     0,005     0,015     -0,036    0,019     0,045     0,011     0,022     0,005     -0,022    0,012     0,011     0,021   
  59Characteristics-based approach             -0,003    -0,023    -0,017    -0,04     0,003     -0,022    -0,003    -0,032    0,076     0,138     0,022     -0,703    0,058     0,025     -0,05     -0,04      0,05     0,297     0,131       0       -0,031    0,024     0,037   
