,"Barras, R.","Beltramini, R. F.","Bowen, D.","Buzzacchi, L.","Colombo, M. G.","Evangelista, R.","George, W. R.","Kerkhof, Marco","Khan, A. M.","Kingmanbrundage, J","Latour, M. S.","Manopichetwattana, V.","Mariotti, S.","Metcalfe, J. S.","Miles, Ian","Roberts, S. D.","Sirilli, G.","Smith, D. J."
Innovation in services,2,,,1,1,1,,1,,,,,1,,1,,1,
Adoption and diffusion,1,,,1,1,,,,,,1,,1,,1,1,,
Consumer/customer/user,1,,1,,,,1,1,,1,,,,,1,,,
Service sector/Service industries,1,,,,,1,,1,,,1,,,,,1,1,
Information Technology,1,,,1,1,,,1,,,,,1,,,,,
Reverse product cycle theory,2,,,,,,,1,,,,,,,,,,
Service innovation,,1,,,,,,,,,1,,,,1,1,,
Service system,,,1,,,,1,,,1,,,,,,,,1
Absorptive capacity/ACAP,,,,1,1,,,,,,,,1,,,,,
Complex service systems,,,,,,,,,,,,,,,,,,1
Generation of new types of services,1,,,,,,,,,,,,,,,,,
Institutional,,,,,,,,,,,,,,1,,,,
National government,,,,,,,,,,,,,,1,,,,
National systems of innovation,,,,,,,,,,,,,,1,,,,
Product-service innovation,,,,,,,,,1,,,1,,,,,,
Quality of service,,,,,,,,,,,,,,,,,,1
Schumpeterian,1,,,,,,,,,,,,,,,,,
Service logic,,,1,,,,1,,,1,,,,,,,,
Technological innovation,,,,,,1,,,,,,,,,,,1,
Technology policy,,,,,,,,,,,,,,1,,,,
