Id,Label,timeset,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,Cluster,eigencentrality
"Gallouj, Faiz","Gallouj, Faiz",,2,0.018868,0.018868,0.018868,2,2,4,2,2,4,1,1,1,2,0,0,0,0,0.015353,0,0,8,0.013972
"Sundbo, Jon","Sundbo, Jon",,1,0.009434,0.018868,0.012579,1,1,2,1,1,2,2,0.666667,0.75,0,0,0,0,0,0.008096,0,0,8,0.009697
"Weinstein, O.","Weinstein, O.",,1,0.009434,0.018868,0.012579,1,1,2,1,1,2,2,0.666667,0.75,0,0,0,0,0,0.008096,0,0,8,0.009697
"Lievens, Annouk","Lievens, Annouk",,6,0.056604,0.09434,0.067385,6,6,12,7,7,14,2,0.714286,0.8,56,0,0,4,0.2,0.021477,1,1,0,0.23831
"de Ruyter, K.","de Ruyter, K.",,4,0.037736,0.09434,0.058962,4,4,8,4,4,8,2,0.625,0.7,32,0,0,4,0.333333,0.014685,1,1,0,0.1796
"Lemmink, J.","Lemmink, J.",,4,0.037736,0.09434,0.058962,4,4,8,4,4,8,2,0.625,0.7,32,0,0,4,0.333333,0.014685,1,1,0,0.1796
"Moenaert, R. K.","Moenaert, R. K.",,2,0.018868,0.09434,0.042882,2,2,4,3,3,6,3,0.454545,0.533333,0,0,0,4,1,0.008035,1,1,0,0.104339
"Blazevic, V.","Blazevic, V.",,2,0.018868,0.09434,0.042882,2,2,4,2,2,4,3,0.454545,0.533333,0,0,0,4,1,0.008035,1,1,0,0.104339
"Klein, E.","Klein, E.",,2,0.018868,0.09434,0.042882,2,2,4,2,2,4,3,0.454545,0.533333,0,0,0,4,1,0.008035,1,1,0,0.104339
"S'Jegers, R.","S'Jegers, R.",,2,0.018868,0.09434,0.042882,2,2,4,2,2,4,3,0.454545,0.533333,0,0,0,4,1,0.008035,1,1,0,0.104339
"Evangelista, R.","Evangelista, R.",,2,0.018868,0.018868,0.018868,2,2,4,3,3,6,1,1,1,2,0,0,1,0,0.015353,2,2,9,0.013972
"Sirilli, G.","Sirilli, G.",,1,0.009434,0.018868,0.012579,1,1,2,2,2,4,2,0.666667,0.75,0,0,0,1,0,0.008096,2,2,9,0.009697
"Savona, Maria","Savona, Maria",,1,0.009434,0.018868,0.012579,1,1,2,1,1,2,2,0.666667,0.75,0,0,0,1,0,0.008096,2,2,9,0.009697
"Atuahene-Gima, K.","Atuahene-Gima, K.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.001577,3,3,28,0
"Andreassen, Tor Wallin","Andreassen, Tor Wallin",,2,0.018868,0.09434,0.039308,2,2,4,2,2,4,3,0.416667,0.5,0,0,0,4,1,0.00817,1,1,0,0.081166
"Kleijnen, M.","Kleijnen, M.",,2,0.018868,0.09434,0.039308,2,2,4,2,2,4,3,0.416667,0.5,0,0,0,4,1,0.00817,1,1,0,0.081166
"Lee, Jungwoo","Lee, Jungwoo",,2,0.018868,0.018868,0.018868,2,2,4,2,2,4,1,1,1,0,0,0,3,1,0.010515,4,4,10,0.028198
"Eastwood, D.","Eastwood, D.",,2,0.018868,0.018868,0.018868,2,2,4,2,2,4,1,1,1,0,0,0,3,1,0.010515,4,4,10,0.028198
"Lee, E.-J.","Lee, E.-J.",,2,0.018868,0.018868,0.018868,2,2,4,2,2,4,1,1,1,0,0,0,3,1,0.010515,4,4,10,0.028198
"Ouwersloot, H","Ouwersloot, H",,2,0.018868,0.09434,0.039308,2,2,4,2,2,4,3,0.416667,0.5,0,0,0,4,1,0.00817,1,1,0,0.081166
"van Riel, A.C.R.","van Riel, A.C.R.",,2,0.018868,0.09434,0.039308,2,2,4,2,2,4,3,0.416667,0.5,0,0,0,4,1,0.00817,1,1,0,0.081166
"Lyytinen, Kalle","Lyytinen, Kalle",,3,0.028302,0.028302,0.028302,3,3,6,3,3,6,1,1,1,4,0,0,5,0.333333,0.015425,5,5,4,0.042736
"Rose, Gregory M","Rose, Gregory M",,1,0.009434,0.028302,0.016981,1,1,2,1,1,2,2,0.6,0.666667,0,0,0,5,0,0.005948,5,5,4,0.019706
"Yang, H D","Yang, H D",,2,0.018868,0.028302,0.021226,2,2,4,2,2,4,2,0.75,0.833333,0,0,0,5,1,0.010344,5,5,4,0.036151
"Yoo, Youngjin","Yoo, Youngjin",,2,0.018868,0.028302,0.021226,2,2,4,2,2,4,2,0.75,0.833333,0,0,0,5,1,0.010344,5,5,4,0.036151
"Walsham, G.","Walsham, G.",,3,0.028302,0.028302,0.028302,3,3,6,3,3,6,1,1,1,0,0,0,6,1,0.010515,6,6,5,0.105605
