Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,componentnumber,strongcompnum,Cluster,eigencentrality
Service innovation,Service innovation,,0,68,68,0,78,78,0,0,0,0,0,0,1,1,1,0,0,0.525382,1,0,0,68,0,0
"Gallouj, Faiz","Gallouj, Faiz",,8,0,8,13,0,13,8,0.054422,0.054422,0.054422,0,0,0,0,0,0,0.091784,0,2,0,0,67,0,0.8
"Lievens, Annouk","Lievens, Annouk",,10,0,10,17,0,17,10,0.068027,0.068027,0.068027,0,0,0,0,0,0,0.170181,0,1,0,0,66,0,1
"Atuahene-Gima, K.","Atuahene-Gima, K.",,7,0,7,8,0,8,7,0.047619,0.047619,0.047619,0,0,0,0,0,0,0.168746,0,1,0,0,65,0,0.7
"de Ruyter, K.","de Ruyter, K.",,5,0,5,6,0,6,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.141169,0,1,0,0,64,0,0.5
"Lee, Jungwoo","Lee, Jungwoo",,7,0,7,9,0,9,7,0.047619,0.047619,0.047619,0,0,0,0,0,0,0.120068,0,4,0,0,63,0,0.7
"Lemmink, J.","Lemmink, J.",,7,0,7,9,0,9,7,0.047619,0.047619,0.047619,0,0,0,0,0,0,0.159719,0,1,0,0,62,0,0.7
"Moenaert, R. K.","Moenaert, R. K.",,5,0,5,6,0,6,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.124291,0,1,0,0,61,0,0.5
"Sundbo, Jon","Sundbo, Jon",,5,0,5,7,0,7,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.104465,0,2,0,0,60,0,0.5
"Andersen, B.","Andersen, B.",,6,0,6,6,0,6,6,0.040816,0.040816,0.040816,0,0,0,0,0,0,0.115714,0,2,0,0,59,0,0.6
"Andreassen, Tor Wallin","Andreassen, Tor Wallin",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.08268,0,3,0,0,58,0,0.3
"Barkema, H. G.","Barkema, H. G.",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.086347,0,3,0,0,57,0,0.3
"Bessant, J.","Bessant, J.",,7,0,7,7,0,7,7,0.047619,0.047619,0.047619,0,0,0,0,0,0,0.147175,0,3,0,0,56,0,0.7
"Blazevic, V.","Blazevic, V.",,8,0,8,8,0,8,8,0.054422,0.054422,0.054422,0,0,0,0,0,0,0.143116,0,1,0,0,55,0,0.8
"Boden, M.","Boden, M.",,6,0,6,6,0,6,6,0.040816,0.040816,0.040816,0,0,0,0,0,0,0.115714,0,2,0,0,54,0,0.6
"Braithwaite, C.","Braithwaite, C.",,5,0,5,5,0,5,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.07499,0,5,0,0,53,0,0.5
"DeTore, A.","DeTore, A.",,4,0,4,4,0,4,4,0.027211,0.027211,0.027211,0,0,0,0,0,0,0.094358,0,4,0,0,52,0,0.4
"Dholakia, N.","Dholakia, N.",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.097226,0,1,0,0,51,0,0.3
"Dos Santos, Brian L","Dos Santos, Brian L",,4,0,4,4,0,4,4,0.027211,0.027211,0.027211,0,0,0,0,0,0,0.097194,0,1,0,0,50,0,0.4
"Eastwood, D.","Eastwood, D.",,4,0,4,4,0,4,4,0.027211,0.027211,0.027211,0,0,0,0,0,0,0.085021,0,4,0,0,49,0,0.4
"Fox, J.","Fox, J.",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.097226,0,1,0,0,48,0,0.3
"Frambach, R. T.","Frambach, R. T.",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.086347,0,3,0,0,47,0,0.3
"Frambach, RT","Frambach, RT",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.086347,0,3,0,0,46,0,0.3
"Francis, D.","Francis, D.",,7,0,7,7,0,7,7,0.047619,0.047619,0.047619,0,0,0,0,0,0,0.147175,0,3,0,0,45,0,0.7
"Gann, R.","Gann, R.",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.097226,0,1,0,0,44,0,0.3
"Ghijsen, P.","Ghijsen, P.",,5,0,5,5,0,5,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.090395,0,4,0,0,43,0,0.5
"Hackney, R.","Hackney, R.",,6,0,6,6,0,6,6,0.040816,0.040816,0.040816,0,0,0,0,0,0,0.123987,0,4,0,0,42,0,0.6
"Halsall, D.","Halsall, D.",,5,0,5,5,0,5,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.07499,0,5,0,0,41,0,0.5
"Halsall, J.","Halsall, J.",,5,0,5,5,0,5,5,0.034014,0.034014,0.034014,0,0,0,0,0,0,0.07499,0,5,0,0,40,0,0.5
"Heiskanen, E.","Heiskanen, E.",,3,0,3,3,0,3,3,0.020408,0.020408,0.020408,0,0,0,0,0,0,0.084722,0,0,0,0,39,0,0.3
