Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
"Gallouj, Faiz","Gallouj, Faiz",,4,10,1,1,1,1,0,0,0,0,0.003322,0,8,0.666667,2,0.034754
"Sundbo, Jon","Sundbo, Jon",,3,5,2,0.666667,0.75,0,0,0,0,0,0.002825,0,8,1,1,0.024433
"Weinstein, O.","Weinstein, O.",,3,3,2,0.666667,0.75,0,0,0,0,0,0.002825,0,8,1,1,0.024433
"Lievens, Annouk","Lievens, Annouk",,8,15,2,0.714286,0.8,28,0,0,4,0.2,0.007305,1,0,0.142857,3,0.334204
"de Ruyter, K.","de Ruyter, K.",,6,8,2,0.625,0.7,16,0,0,4,0.333333,0.005768,1,0,0.2,2,0.253584
"Lemmink, J.","Lemmink, J.",,6,8,2,0.625,0.7,16,0,0,4,0.333333,0.005768,1,0,0.2,2,0.253584
"Moenaert, R. K.","Moenaert, R. K.",,4,7,3,0.454545,0.533333,0,0,0,4,1,0.003607,1,0,0.666667,2,0.146648
"Blazevic, V.","Blazevic, V.",,4,4,3,0.454545,0.533333,0,0,0,4,1,0.003607,1,0,0.666667,2,0.146648
"Klein, E.","Klein, E.",,4,4,3,0.454545,0.533333,0,0,0,4,1,0.003607,1,0,0.666667,2,0.146648
"S'Jegers, R.","S'Jegers, R.",,4,4,3,0.454545,0.533333,0,0,0,4,1,0.003607,1,0,0.666667,2,0.146648
"Evangelista, R.","Evangelista, R.",,4,9,1,1,1,1,0,0,1,0,0.003322,2,9,0.666667,2,0.034754
"Sirilli, G.","Sirilli, G.",,3,6,2,0.666667,0.75,0,0,0,1,0,0.002825,2,9,1,1,0.024433
"Savona, Maria","Savona, Maria",,3,3,2,0.666667,0.75,0,0,0,1,0,0.002825,2,9,1,1,0.024433
"Atuahene-Gima, K.","Atuahene-Gima, K.",,2,4,0,0,0,0,0,0,2,0,0.001402,3,28,0,0,0.003852
"Andreassen, Tor Wallin","Andreassen, Tor Wallin",,4,4,3,0.416667,0.5,0,0,0,4,1,0.003493,1,0,0.666667,2,0.117405
"Kleijnen, M.","Kleijnen, M.",,4,4,3,0.416667,0.5,0,0,0,4,1,0.003493,1,0,0.666667,2,0.117405
"Lee, Jungwoo","Lee, Jungwoo",,4,6,1,1,1,0,0,0,3,1,0.003686,4,10,1,3,0.055991
"Eastwood, D.","Eastwood, D.",,4,4,1,1,1,0,0,0,3,1,0.003686,4,10,1,3,0.055991
"Lee, E.-J.","Lee, E.-J.",,4,4,1,1,1,0,0,0,3,1,0.003686,4,10,1,3,0.055991
"Ouwersloot, H","Ouwersloot, H",,4,4,3,0.416667,0.5,0,0,0,4,1,0.003493,1,0,0.666667,2,0.117405
"van Riel, A.C.R.","van Riel, A.C.R.",,4,4,3,0.416667,0.5,0,0,0,4,1,0.003493,1,0,0.666667,2,0.117405
"Lyytinen, Kalle","Lyytinen, Kalle",,5,7,1,1,1,2,0,0,5,0.333333,0.004364,5,4,0.666667,4,0.08054
"Rose, Gregory M","Rose, Gregory M",,3,3,2,0.6,0.666667,0,0,0,5,0,0.002766,5,4,1,1,0.038462
