Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,Cluster,eigencentrality
Service innovation,Service innovation,,68,78,4,0.515789,0.670068,2809.534034,0.494104,0.178571,2,0,0.063965,0,0,1
"Gallouj, Faiz","Gallouj, Faiz",,8,13,5,0.411765,0.458277,465.667292,0.031196,0.08632,0,0,0.009782,0,0,0.180475
"Lievens, Annouk","Lievens, Annouk",,10,17,5,0.452308,0.491156,263.593612,0.057842,0.160049,4,0,0.009793,0,0,0.326953
"Atuahene-Gima, K.","Atuahene-Gima, K.",,7,8,4,0.452308,0.481859,112.010217,0.057355,0.1587,2,0,0.006777,0,0,0.322554
"de Ruyter, K.","de Ruyter, K.",,5,6,5,0.431085,0.463379,29.908781,0.047982,0.132765,2,0,0.005027,0,0,0.2669
"Lee, Jungwoo","Lee, Jungwoo",,7,9,5,0.411765,0.455442,212.635683,0.040809,0.11292,2,0,0.007694,0,0,0.228682
"Lemmink, J.","Lemmink, J.",,7,9,4,0.446809,0.478458,91.205694,0.054287,0.15021,2,0,0.006744,0,0,0.303484
"Moenaert, R. K.","Moenaert, R. K.",,5,6,5,0.431085,0.463379,78.871107,0.042245,0.116891,2,0,0.005399,0,0,0.235477
"Sundbo, Jon","Sundbo, Jon",,5,7,4,0.441441,0.469388,74.810173,0.035507,0.098246,0,0,0.005305,0,0,0.200541
"Andersen, B.","Andersen, B.",,6,6,5,0.436202,0.470408,163.012393,0.03933,0.108825,4,0,0.006261,0,0,0.224259
"Andreassen, Tor Wallin","Andreassen, Tor Wallin",,3,3,5,0.38992,0.428685,4.829499,0.028102,0.077758,2,0,0.003395,0,0,0.155912
"Barkema, H. G.","Barkema, H. G.",,3,3,5,0.381818,0.423469,7.310457,0.029348,0.081207,2,0,0.00343,0,0,0.162938
