Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,Clustering Coefficient,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
Consumer/customer/user,Consumer/customer/user,,538,676,4,0.504048,0.655466,195151.37906,1,0.523615,0.113678,0,0.039094,0,0,0,0,1
"Spohrer, Jim","Spohrer, Jim",,34,78,4,0.471879,0.491406,8143.532708,3,0.020337,0.093677,0,0.002358,0,0,0,0,0.184942
"Vargo, Stephen","Vargo, Stephen",,33,84,5,0.463014,0.486081,5587.875365,3,0.019432,0.089507,0,0.002188,0,0,0,0,0.172892
"Demirkan, Haluk","Demirkan, Haluk",,41,65,5,0.468886,0.49228,8499.495554,5,0.022163,0.102084,0,0.00276,0,0,0,0,0.201901
"Maglio, Paul P.","Maglio, Paul P.",,31,66,5,0.465931,0.487165,6017.432533,3,0.019805,0.091226,0,0.002055,0,0,0,0,0.17824
"Lusch, Robert","Lusch, Robert",,28,62,5,0.46049,0.482939,4629.00727,3,0.019271,0.088763,0,0.001877,0,0,0,0,0.171566
"Lyytinen, Kalle","Lyytinen, Kalle",,25,45,5,0.449639,0.475331,4160.263866,5,0.014501,0.066795,0,0.001739,0,0,0,0,0.131889
"Tsou, Hung Tai","Tsou, Hung Tai",,22,60,5,0.45239,0.475866,3488.40045,0,0.014275,0.065751,0,0.001544,0,0,0,0,0.130043
"Edvardsson, Bo","Edvardsson, Bo",,22,54,5,0.45658,0.478402,2947.37263,3,0.01777,0.08185,0,0.001479,0,0,0,0,0.157702
"Rubalcaba, Luis","Rubalcaba, Luis",,13,25,5,0.446247,0.468991,3238.021037,1,0.012492,0.05754,0,0.001008,0,0,0,0,0.111829
"Akaka, Melissa Archpru","Akaka, Melissa Archpru",,20,48,5,0.439287,0.467117,2379.257602,3,0.014953,0.068876,0,0.001368,0,0,0,0,0.131934
"Miles, Ian","Miles, Ian",,23,34,4,0.464468,0.483305,5269.836955,2,0.016579,0.076365,0,0.001602,0,0,0,0,0.15063
"Chen, Ja-Shen","Chen, Ja-Shen",,15,33,5,0.439614,0.465469,1604.304111,1,0.012309,0.056698,0,0.001072,0,0,0,0,0.110202
"Gummesson, Evert","Gummesson, Evert",,14,30,5,0.404721,0.440899,829.334737,3,0.011779,0.054256,0,0.000969,0,0,0,0,0.103051
"Parasuraman, A.","Parasuraman, A.",,31,45,5,0.46049,0.483897,4463.567529,1,0.021448,0.098794,0,0.002017,0,0,0,0,0.190328
"Yuan, Soe-Tsyr","Yuan, Soe-Tsyr",,23,46,5,0.450324,0.475049,2860.19012,1,0.017411,0.080199,0,0.001548,0,0,0,0,0.153933
"Brown, Stephen W","Brown, Stephen W",,14,19,5,0.437986,0.464159,1264.888631,1,0.013947,0.06424,0,0.000977,0,0,0,0,0.122717
