Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality,Lineage,IsOrigin,IsAncestor,IsDescendant,DistanceAncestor,DistanceDescendant
"Spohrer, Jim","Spohrer, Jim",,21,54,7,0.300509,0.388391,2572.016667,0.048962,0.048962,0,0.175439,0.000848,0,0,0.157895,30,0.449953,Unrelated,false,false,false,0,0
"Vargo, Stephen","Vargo, Stephen",,15,52,8,0.256894,0.346308,2934.633333,0.019476,0.019476,0,0.307692,0.000667,0,0,0.263736,24,0.314602,Unrelated,false,false,false,0,0
"Demirkan, Haluk","Demirkan, Haluk",,29,55,6,0.354,0.452731,8382.383333,0.165172,0.165172,0,0.150997,0.001104,0,0,0.140212,53,0.796255,Unrelated,false,false,false,0,0
"Lusch, Robert","Lusch, Robert",,13,40,8,0.25142,0.328888,770.5,0.017911,0.017911,0,0.327273,0.000541,0,0,0.272727,18,0.268716,Unrelated,false,false,false,0,0
"Maglio, Paul P.","Maglio, Paul P.",,23,52,7,0.307826,0.40534,4036.4,0.054332,0.054332,0,0.190476,0.000954,0,0,0.17316,40,0.541771,Unrelated,false,false,false,0,0
"Chesbrough, Henry","Chesbrough, Henry",,3,5,8,0.231373,0.265517,0,0.004784,0.004784,0,0,0.000134,0,0,0,0,0.052117,Unrelated,false,false,false,0,0
"Gruhl, Daniel","Gruhl, Daniel",,8,11,8,0.240489,0.29659,28.5,0.01343,0.01343,0,0.6,0.000327,0,0,0.619048,13,0.163765,Unrelated,false,false,false,0,0
"Ager, Tryg","Ager, Tryg",,6,6,8,0.232283,0.273991,0,0.007578,0.007578,0,1,0.000256,0,0,0.9,9,0.095131,Unrelated,false,false,false,0,0
"Allen, D.","Allen, D.",,7,7,7,0.277429,0.325962,0.25,0.028948,0.028948,0,0.9,0.000305,0,0,0.8,12,0.192753,Unrelated,false,false,false,0,0
"Anderson, Laura C","Anderson, Laura C",,6,6,8,0.232283,0.273991,0,0.007578,0.007578,0,1,0.000256,0,0,0.9,9,0.095131,Unrelated,false,false,false,0,0
"Bailey, John","Bailey, John",,5,5,8,0.239513,0.288115,0,0.011406,0.011406,0,1,0.000204,0,0,0.666667,4,0.13218,Unrelated,false,false,false,0,0
"Bess, C.","Bess, C.",,7,7,7,0.277429,0.325962,0.25,0.028948,0.028948,0,0.9,0.000305,0,0,0.8,12,0.192753,Unrelated,false,false,false,0,0
"Caswell, Nathan","Caswell, Nathan",,5,5,8,0.246175,0.299697,0,0.011997,0.011997,0,1,0.000207,0,0,0.5,3,0.149736,Unrelated,false,false,false,0,0
"Giuiusa, Alessio","Giuiusa, Alessio",,5,5,7,0.276562,0.320312,0,0.023191,0.023191,0,1,0.0002,0,0,0.666667,4,0.152698,Unrelated,false,false,false,0,0
"Ing, David","Ing, David",,5,5,7,0.276562,0.320312,0,0.023191,0.023191,0,1,0.0002,0,0,0.666667,4,0.152698,Unrelated,false,false,false,0,0
"Kreulen, J. T.","Kreulen, J. T.",,5,5,8,0.239513,0.288115,0,0.011187,0.011187,0,1,0.000228,0,0,0.666667,4,0.125927,Unrelated,false,false,false,0,0
"Akaka, Melissa Archpru","Akaka, Melissa Archpru",,9,30,8,0.245833,0.306289,53.2,0.013036,0.013036,0,0.761905,0.0004,0,0,0.678571,19,0.206709,Unrelated,false,false,false,0,0
"Barrett, Michael","Barrett, Michael",,11,19,9,0.209964,0.278423,1111,0.002613,0.002613,1,0.277778,0.000522,0,0,0.222222,10,0.101823,Unrelated,false,false,false,0,0
"Davidson, Elizabeth J.","Davidson, Elizabeth J.",,8,13,9,0.208973,0.269007,434.5,0.00251,0.00251,1,0.266667,0.00052,0,0,0.380952,8,0.081942,Unrelated,false,false,false,0,0
"Kelleher, Carol","Kelleher, Carol",,10,12,8,0.246175,0.309114,350,0.013004,0.013004,0,0.571429,0.000449,0,0,0.444444,16,0.208664,Unrelated,false,false,false,0,0
"Prabhu, Jaideep","Prabhu, Jaideep",,9,11,9,0.20922,0.271832,692,0.002541,0.002541,1,0.428571,0.000398,0,0,0.5,14,0.094311,Unrelated,false,false,false,0,0
"Tanniru, Mohan","Tanniru, Mohan",,6,8,9,0.206534,0.256295,351,0.003725,0.003725,0,0.166667,0.00045,0,0,0.3,3,0.075191,Unrelated,false,false,false,0,0
"Corsaro, Daniela","Corsaro, Daniela",,8,8,8,0.245492,0.303464,0,0.012753,0.012753,0,1,0.000329,0,0,0.809524,17,0.200258,Unrelated,false,false,false,0,0
"Lyytinen, Kalle","Lyytinen, Kalle",,17,46,5,0.435185,0.584397,645.333333,0,0,313,0.114286,0.000729,1,1,0.1,12,0.129236,Unrelated,false,false,false,0,0
"Yoo, Youngjin","Yoo, Youngjin",,11,27,5,0.38843,0.495745,160.166667,0,0,313,0.333333,0.000452,1,1,0.266667,12,0.098427,Unrelated,false,false,false,0,0
"Hanseth, Ole","Hanseth, Ole",,11,19,6,0.356061,0.486525,341,0,0,313,0.166667,0.000673,1,1,0.133333,6,0.064719,Unrelated,false,false,false,0,0
"Henfridsson, Ola","Henfridsson, Ola",,6,13,6,0.333333,0.419149,135.333333,0,0,313,0.166667,0.000245,1,1,0.3,3,0.049288,Unrelated,false,false,false,0,0
"Sørensen, C.","Sørensen, C.",,9,15,4,0.391667,0.469858,492.5,0,0,313,0.238095,0.000393,1,1,0.357143,10,0.067362,Unrelated,false,false,false,0,0
"Rose, Gregory M","Rose, Gregory M",,4,11,6,0.30719,0.36773,0,0,0,313,1,0.000172,1,1,0.666667,2,0.028468,Unrelated,false,false,false,0,0
"Boland, Richard J., Jr.","Boland, Richard J., Jr.",,6,10,6,0.324138,0.410284,0,0,0,313,1,0.000238,1,1,0.7,7,0.063801,Unrelated,false,false,false,0,0
"Carlo, Jessica Luo","Carlo, Jessica Luo",,4,8,6,0.30719,0.36773,0,0,0,313,1,0.000172,1,1,0.666667,2,0.028468,Unrelated,false,false,false,0,0
"Majchrzak, Ann","Majchrzak, Ann",,10,12,6,0.333333,0.452837,172,0,0,313,0.428571,0.0004,1,1,0.333333,12,0.087836,Unrelated,false,false,false,0,0
"Boland, R. J.","Boland, R. J.",,6,6,6,0.324138,0.410284,0,0,0,313,1,0.000238,1,1,0.7,7,0.063801,Unrelated,false,false,false,0,0
"Eriksson, Owen","Eriksson, Owen",,4,4,6,0.30719,0.36773,0,0,0,313,1,0.000172,1,1,0.666667,2,0.028468,Unrelated,false,false,false,0,0
"King, John Leslie","King, John Leslie",,3,3,6,0.305195,0.357092,0,0,0,313,0,0.000136,1,1,0,0,0.022805,Unrelated,false,false,false,0,0
"Knutsen, Lars A","Knutsen, Lars A",,3,3,6,0.305195,0.357092,0,0,0,313,0,0.000136,1,1,0,0,0.022805,Unrelated,false,false,false,0,0
"Lindgren, Rikard","Lindgren, Rikard",,4,4,6,0.30719,0.36773,0,0,0,313,1,0.000172,1,1,0.666667,2,0.028468,Unrelated,false,false,false,0,0
"Brown, Stephen W","Brown, Stephen W",,15,30,6,0.338432,0.402448,6278.833333,0.15418,0.15418,2,0.371795,0.000634,0,0,0.318681,29,0.523746,Unrelated,false,false,false,0,0
"Bitner, Mary Jo","Bitner, Mary Jo",,13,25,6,0.308901,0.370904,263,0.130739,0.130739,2,0.454545,0.000573,0,0,0.378788,25,0.436255,Unrelated,false,false,false,0,0
"Ostrom, Amy L","Ostrom, Amy L",,27,37,6,0.329609,0.430697,5056.761905,0.388707,0.388707,2,0.253333,0.001097,0,0,0.233846,76,1,Unrelated,false,false,false,0,0
"Kauffman, Robert J.","Kauffman, Robert J.",,12,20,7,0.286408,0.350915,494.533333,0.038868,0.038868,0,0.377778,0.000445,0,0,0.309091,17,0.284846,Unrelated,false,false,false,0,0
"Daim, T. U.","Daim, T. U.",,9,13,7,0.283654,0.340086,696,0.024834,0.024834,0,0.238095,0.000459,0,0,0.357143,10,0.182272,Unrelated,false,false,false,0,0
"Bardhan, Indranil R.","Bardhan, Indranil R.",,8,10,7,0.266566,0.31664,350,0.025391,0.025391,0,0.466667,0.000297,0,0,0.52381,11,0.163686,Unrelated,false,false,false,0,0
"Goul, Michael","Goul, Michael",,10,13,6,0.307292,0.362429,49.666667,0.116173,0.116173,2,0.75,0.000396,0,0,0.583333,21,0.397262,Unrelated,false,false,false,0,0
"Kannan, P. K.","Kannan, P. K.",,8,10,7,0.266968,0.317581,522,0.025402,0.025402,0,0.466667,0.000295,0,0,0.52381,11,0.165383,Unrelated,false,false,false,0,0
"Sougstad, Ryan","Sougstad, Ryan",,6,9,7,0.265766,0.31099,0,0.024901,0.024901,0,1,0.000226,0,0,0.8,8,0.155526,Unrelated,false,false,false,0,0
"Burkhard, Kevin A","Burkhard, Kevin A",,9,9,6,0.306759,0.359605,0.166667,0.113726,0.113726,2,0.952381,0.00036,0,0,0.785714,22,0.385007,Unrelated,false,false,false,0,0
"Delen, Dursun","Delen, Dursun",,3,3,7,0.261834,0.296395,0,0.01614,0.01614,0,0,0.000132,0,0,0,0,0.084812,Unrelated,false,false,false,0,0
"Fill, Hans-Georg","Fill, Hans-Georg",,7,7,7,0.281847,0.332553,0,0.03138,0.03138,0,1,0.000277,0,0,0.8,12,0.223693,Unrelated,false,false,false,0,0
"Harmon, R. R.","Harmon, R. R.",,3,3,7,0.261834,0.296395,0,0.01614,0.01614,0,0,0.000132,0,0,0,0,0.084812,Unrelated,false,false,false,0,0
"Jetter, A.","Jetter, A.",,5,5,7,0.281847,0.328787,0,0.023876,0.023876,0,1,0.00021,0,0,0.666667,4,0.166686,Unrelated,false,false,false,0,0
